trace,thickness,thickness_user_lower,thickness_user_upper,thickness_user_std,thickness_user_nmad,thickness_user_count,temperate,temperate_user_lower,temperate_user_upper,temperate_user_std,temperate_user_nmad,temperate_user_count
2999,119.488274,119.232407,122.046913,5.356255,2.086399,10,116.162047,117.697229,110.021322,5.241413,6.638508,8.0
3005,119.488274,119.232407,121.791046,5.390302,2.086382,10,117.441365,117.697229,110.021322,5.354997,4.931463,9.0
3012,119.488274,119.232407,121.535179,5.424269,1.896719,10,117.441365,117.697229,110.021322,5.318024,4.931463,9.0
3017,119.488274,118.976555,121.279327,5.511538,2.086382,10,117.441365,117.697229,110.021322,5.318024,4.931463,9.0
3024,119.232407,118.976555,121.279327,5.704987,1.896714,10,117.185498,117.441362,109.765455,5.282169,4.931463,9.0
3031,119.232407,118.976555,121.02346,5.847291,1.896708,10,117.185498,117.441362,109.765455,5.282169,4.931463,9.0
3039,119.232407,118.72068,120.767593,5.859532,1.517377,10,116.929635,117.441362,109.765455,5.203607,4.931463,9.0
3046,119.232407,118.72068,120.511742,5.932015,1.327714,10,116.929635,117.441362,109.509592,5.194163,4.931463,9.0
3054,118.976555,118.976555,120.511742,5.930788,1.327703,10,116.673783,117.18551,109.25374,5.194163,4.931463,9.0
3062,118.976555,118.72068,120.511742,5.902758,1.13804,10,116.673783,117.18551,109.25374,5.161853,4.931463,9.0
3071,118.976555,118.72068,120.511742,5.832094,0.94836,10,116.673783,117.18551,109.25374,5.194163,4.931463,9.0
3081,118.976555,118.72068,120.511742,5.847042,0.94836,10,116.673783,117.18551,109.25374,5.209196,4.552119,9.0
